giantbomb_id;image_link
449;https://media.rawg.io/media/screenshots/9be/9be442dd1deb0839f86ce7ec4be90787.jpg
451;https://media.rawg.io/media/games/c51/c51f848336cc911519014dce2959326d.jpg
452;https://media.rawg.io/media/screenshots/906/9066a0217b72156998f9133fdb4d175f.jpg
453;https://media.rawg.io/media/games/777/77784e9fe190af54d6956adf14478eed.jpg
457;https://media.rawg.io/media/screenshots/b7d/b7d736f6277e9e7c737d89c98a86ed4e.jpg
458;https://media.rawg.io/media/screenshots/326/3269b785358f089be62db1a575fd2873.jpg
459;https://media.rawg.io/media/screenshots/cca/ccae603d008fa7300893550267cf642f.jpg
461;https://media.rawg.io/media/screenshots/e06/e064a02ba1c3840b7c293664b43aca9f.jpg
463;https://media.rawg.io/media/screenshots/7ae/7aef202b534d3feac638856cd1e8925b.jpg
478;https://media.rawg.io/media/screenshots/115/115f1192e2fddc60255bd5c62a1490df.jpg
479;https://media.rawg.io/media/screenshots/166/1667d4703fe5b4d35b148926d0958b4a.jpg
485;https://media.rawg.io/media/screenshots/392/392d7549becff1d65e60715de768ab9e.jpg
487;https://media.rawg.io/media/screenshots/618/618e0da445e9096a9c4d4d985ae2cfbf.jpg
489;https://media.rawg.io/media/screenshots/731/731a529967d02be4e12d62718fab0bf3.jpg
492;
496;https://media.rawg.io/media/screenshots/716/71654a0782c1558e4f1f13f92448b74b.jpg
498;https://media.rawg.io/media/screenshots/9e1/9e1e61b119d9206a16f315d65321f9ec.jpg
500;https://media.rawg.io/media/screenshots/13f/13f8024bd317fe8ca9a6f84ddce680f2.jpg
504;https://media.rawg.io/media/screenshots/841/841bbd01f538eaf4fc2d2f0b805db47f.jpg
508;https://media.rawg.io/media/screenshots/4a9/4a9e4dc5aafa563cd8ef3f6fdf6f9834.jpg
512;https://media.rawg.io/media/screenshots/86e/86e1d75f4ec74c566b6a1a5d096c9707.jpg
513;https://media.rawg.io/media/screenshots/428/428cb285517e0ff80ac5c513d41df194.jpg
519;https://media.rawg.io/media/screenshots/a19/a197e07085c516793bdd8113b1a8fd3b.jpg
522;https://media.rawg.io/media/screenshots/227/227aade0fc723b0284e0e5443a90a168.jpg
